,x5,magnit
213,Сервер DELL PowerEdge R640,"Сервер Dell PowerEdge R440 2xGold 6240/6x16Gb RDIMM/8x900Gb 15K 2.5"" SAS/PERC H730P 2Gb/2x550W/5Y"
214,Сервер DELL PowerEdge R640,"Сервер Dell PowerEdge R640 2xGold 6226R/6x16Gb RDIMM/8x900Gb 15K 2.5"" SAS/PERC H730P 2Gb/2x750W/5Y"
215,Сервер DELL PowerEdge R640,"Сервер Dell PowerEdge R440 2xGold 6240/6x16Gb RDIMM/8x900Gb 15K 2.5"" SAS/PERC H730P 2Gb/2x550W/5Y"
216,Сервер DELL PowerEdge R640,Сервер Dell PowerEdge R640 Server Сервер БД и Виртуализации РЦ с ТП 5 лет
217,Сервер DELL PowerEdge R640,"Сервер Dell PowerEdge R640 2xGold 6226R/6x16Gb RDIMM/8x900Gb 15K 2.5"" SAS/PERC H730P 2Gb/2x750W/5Y"
218,Сервер DELL PowerEdge R640,Сервер Dell PowerEdge R640 Server Сервер БД и Виртуализации РЦ с ТП 5 лет
219,Сервер DELL PowerEdge R640,Сервер Dell PowerEdge R640 Server Сервер БД и Виртуализации РЦ с ТП 5 лет
220,Сервер DELL PowerEdge R640,Сервер Dell PowerEdge R640 Server для управления двором (QMS) РЦ с ТП 5 лет
221,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
222,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
223,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
224,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных Urovo DT50
225,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
226,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных Urovo DT50
227,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных Urovo DT50
228,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
229,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных Urovo DT50
230,ТС5 Ручной сканер 2D Honeywell 1450g2D,Honeywell 1450g2D-2
231,ТС5_Монитор LG 24BK550Y-B,Монитор LG 24BK550Y
232,ТС5_Монитор LG 24BK550Y-B,Монитор LG 24BK550Y
233,ТС5 Ручной сканер 2D Honeywell 1450g2D,Honeywell 1450g2D-2
234,ТС5 Ручной сканер 2D Honeywell 1450g2D,Honeywell 1450g2D-2
235,ФТС5 Монитор LG 24BK550Y-B + кабель VGA,Монитор LG 24BK550Y
236,ФТС5 Монитор LG 24BK550Y-B + кабель VGA,Монитор LG 24BK550Y
237,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
238,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
239,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
240,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
241,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
242,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
243,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
244,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
245,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
246,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
